순위,도서명,저자,출판사,출판년도,ISBN,KDC,KDC명,대출건수
114,내 꿈에 가끔만 놀러와 :고선경 산문 ,지은이: 고선경,문학동네,2025,9791141602055,814.7,문학 > 한국문학 > 수필,33
114,우중괴담 :미쓰다 신조 소설 ,지은이: 미쓰다 신조 ;옮긴이: 현정수,더난콘텐츠그룹,2022,9791158791971,833.6,문학 > 일본문학 > 소설,33
114,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,9791161571379,813.7,문학 > 한국문학 > 소설,33
114,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ,마이클 샌델 지음 ;함규진 옮김,미래엔,2020,9791164136452,332.6,"사회과학 > 사회학, 사회문제 > 사회조직 및 제도",33
114,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,2024,9791167374561,813.7,문학 > 한국문학 > 소설,33
114,영원에 빚을 져서 :예소연 소설 ,지은이: 예소연,H(현대문학),2025,9791167902931,813.7,문학 > 한국문학 > 소설,33
114,사랑은 하트 모양이 아니야 :김효인 단편집 ,지은이: 김효인,안전가옥,2025,9791193024928,813.7,문학 > 한국문학 > 소설,33
114,토막 난 우주를 안고서 - 한국과학문학상 대표작가 앤솔러지,"김초엽, 천선란, 김혜윤, 청예, 조서월 (지은이)",허블,2025,9791193078563,,,33
125,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ,패트릭 브링리 지음 ;조현주 옮김,웅진씽크빅,2023,9788901276533,848,문학 > 영미문학 > 르포르타주 및 기타,32
125,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),2021,9788925588735,843.6,문학 > 영미문학 > 소설,32
125,마법소녀 은퇴합니다 :박서련 소설 ,지은이: 박서련,창비,2022,9788936438739,813.7,문학 > 한국문학 > 소설,32
125,러브 몬스터 =이두온 장편소설 /Love monster ,지은이: 이두온,창비,2023,9788936438999,813.7,문학 > 한국문학 > 소설,32
125,한국이 싫어서 :장강명 장편소설 ,장강명 지음,민음사,2015,9788937473074,813.7,문학 > 한국문학 > 소설,32
125,현대사상 입문 ,지바 마사야 지음 ;김상운 옮김,Arte(북이십일 아르테),2023,9788950927400,166.8,"철학 > 서양철학 > 프랑스, 네덜란드철학",32
125,왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김,청미래,2007,9788986836240,843,문학 > 영미문학 > 소설,32
